date,pageview,month-day,year,month_name,month_num,day,z_score
2024-05-05,496696,05-05,2024,May,5,5,0.017459162929192203
2025-05-05,281825,05-05,2025,May,5,5,0.015022802844260198
2023-05-06,259121,05-06,2023,May,5,6,-0.8602140642734447
2024-05-06,647492,05-06,2024,May,5,6,0.4429736283410616
2025-05-06,280054,05-06,2025,May,5,6,0.005596021579997507
2023-05-07,310325,05-07,2023,May,5,7,-0.6657664304503872
2024-05-07,705086,05-07,2024,May,5,7,0.6054917330715001
2025-05-07,260463,05-07,2025,May,5,7,-0.09868408669113202
2023-05-08,472581,05-08,2023,May,5,8,-0.04959786405725319
2024-05-08,721154,05-08,2024,May,5,8,0.6508322356726163
2025-05-08,345827,05-08,2025,May,5,8,0.3556963513904718
2023-05-09,485282,05-09,2023,May,5,9,-0.0013657064682629809
2024-05-09,625428,05-09,2024,May,5,9,0.3807136800344255
2025-05-09,259993,05-09,2025,May,5,9,-0.10118582988379349
2023-05-10,464789,05-10,2023,May,5,10,-0.07918805159629827
2024-05-10,495242,05-10,2024,May,5,10,0.013356281999267949
2025-05-10,213170,05-10,2025,May,5,10,-0.35041800330929995
2023-05-11,445053,05-11,2023,May,5,11,-0.15413568266285294
2024-05-11,438336,05-11,2024,May,5,11,-0.14722043202980337
2025-05-11,208959,05-11,2025,May,5,11,-0.3728325577439754
2023-05-12,359182,05-12,2023,May,5,12,-0.4802315494705199
2024-05-12,468830,05-12,2024,May,5,12,-0.06117280405379907
2025-05-12,243980,05-12,2025,May,5,12,-0.18642075274355546
2023-05-13,281044,05-13,2023,May,5,13,-0.7769612817505385
2024-05-13,610920,05-13,2024,May,5,13,0.33977516797710705
2025-05-13,251790,05-13,2025,May,5,13,-0.14484923288252124
2023-05-14,309899,05-14,2023,May,5,14,-0.6673841691428453
2024-05-14,611670,05-14,2024,May,5,14,0.34189150958470205
2025-05-14,267312,05-14,2025,May,5,14,-0.062227833230411984
2023-05-15,414809,05-15,2023,May,5,15,-0.26898753481003973
2024-05-15,603578,05-15,2024,May,5,15,0.31905759453315663
2025-05-15,240236,05-15,2025,May,5,15,-0.2063495325591396
2023-05-16,468629,05-16,2023,May,5,16,-0.06460561831216928
2024-05-16,603854,05-16,2024,May,5,16,0.3198364082447516
2025-05-16,223560,05-16,2025,May,5,16,-0.29511351017791126
2023-05-17,445690,05-17,2023,May,5,17,-0.15171666964150132
2024-05-17,504890,05-17,2024,May,5,17,0.04058090043937057
2025-05-17,181474,05-17,2025,May,5,17,-0.5191313059361042
2023-05-18,399858,05-18,2023,May,5,18,-0.32576408690144926
2024-05-18,405186,05-18,2024,May,5,18,-0.24076273108550422
2025-05-18,206550,05-18,2025,May,5,18,-0.3856553223208296
2023-05-19,360913,05-19,2023,May,5,19,-0.4736580619666586
2024-05-19,427044,05-19,2024,May,5,19,-0.1790840712737543
2025-05-19,237155,05-19,2025,May,5,19,-0.22274925761571407
2023-05-20,280572,05-20,2023,May,5,20,-0.7787537058417127
2024-05-20,624906,05-20,2024,May,5,20,0.3792407062755394
2025-05-20,221774,05-20,2025,May,5,20,-0.3046201343100249
2023-05-21,324014,05-21,2023,May,5,21,-0.6137823342976679
2024-05-21,702420,05-21,2024,May,5,21,0.5979688441037022
2025-05-21,210618,05-21,2025,May,5,21,-0.36400193655966606
2023-05-22,436089,05-22,2023,May,5,22,-0.18817655036049155
2024-05-22,651006,05-22,2024,May,5,22,0.45288939421984686
2025-05-22,206119,05-22,2025,May,5,22,-0.38794947405707875
2023-05-23,431601,05-23,2023,May,5,23,-0.20521976926131733
2024-05-23,592214,05-23,2024,May,5,23,0.2869907864948765
2025-05-23,219399,05-23,2025,May,5,23,-0.3172619217197504
2023-05-24,447880,05-24,2023,May,5,24,-0.1434001256591465
2024-05-24,509286,05-24,2024,May,5,24,0.05298548404868765
2025-05-24,183340,05-24,2025,May,5,24,-0.5091988531754524
2023-05-25,348270,05-25,2023,May,5,25,-0.5216699640529198
2024-05-25,441270,05-25,2024,May,5,25,-0.13894130366089155
2025-05-25,184699,05-25,2025,May,5,25,-0.5019650893481611
2023-05-26,271051,05-26,2023,May,5,26,-0.8149097858672836
2024-05-26,456426,05-26,2024,May,5,26,-0.09617427245461094
2025-05-26,207681,05-26,2025,May,5,26,-0.3796351700848719
2023-05-27,212518,05-27,2023,May,5,27,-1.0371893607162217
2024-05-27,619130,05-27,2024,May,5,27,0.3629420541082474
2025-05-27,214852,05-27,2025,May,5,27,-0.3414649563942859
2023-05-28,237044,05-28,2023,May,5,28,-0.9440516631311833
2024-05-28,666974,05-28,2024,May,5,28,0.49794771793995035
2025-05-28,227731,05-28,2025,May,5,28,-0.2729118700575049
2023-05-29,285106,05-29,2023,May,5,29,-0.7615358015421708
2024-05-29,700198,05-29,2024,May,5,29,0.5916988293676007
2025-05-29,232463,05-29,2025,May,5,29,-0.24772410667947495
2023-05-30,345162,05-30,2023,May,5,30,-0.5334726209922617
2024-05-30,1028872,05-30,2024,May,5,30,1.5191474447471913
2025-05-30,200750,05-30,2025,May,5,30,-0.4165278978898435
2023-05-31,329576,05-31,2023,May,5,31,-0.5926605910876873
2024-05-31,1430112,05-31,2024,May,5,31,2.6513619869224376
2025-05-31,197201,05-31,2025,May,5,31,-0.435418720423366
2023-06-01,311474,06-01,2023,June,6,1,-0.6614030929911516
2024-06-01,660204,06-01,2024,June,6,1,0.47884420769539243
2025-06-01,225681,06-01,2025,June,6,1,-0.2838237286637943
2023-06-02,284985,06-02,2023,June,6,2,-0.7619953000909676
2024-06-02,882088,06-02,2024,June,6,2,1.1049539960415502
2025-06-02,267648,06-02,2025,June,6,2,-0.06043935299055187
2023-06-03,221997,06-03,2023,June,6,3,-1.001192776054696
2024-06-03,3532784,06-03,2024,June,6,3,8.584658307889216
